"","targets","cues"
"450","PRIEST","friar"
"451","PRIEST","preacher"
"452","PRIEST","confession"
"453","PRIEST","monastery"
"454","PRIEST","bishop"
"455","PRIEST","holiness"
"456","PRIEST","sermon"
"457","PRIEST","catholic"
"458","PRIEST","holy"
"459","PRIEST","confess"
"460","PRIEST","blessing"
"461","PRIEST","chapel"
"462","PRIEST","pope"
"463","PRIEST","cardinal"
"464","PRIEST","sin"
"465","PRIEST","religious"
"466","PRIEST","bless"
"467","PRESIDENT","politics"
"468","PRESIDENT","election"
"469","PRESIDENT","candidate"
"470","PRESIDENT","elect"
"471","PRESIDENT","leader"
"472","PRESIDENT","leadership"
"473","PRESIDENT","campaign"
"474","PRESIDENT","executive"
"475","PRESIDENT","politician"
"476","PRESIDENT","vice"
"477","PRESIDENT","bush"
"478","PRESIDENT","democrat"
"479","PRESIDENT","dictator"
"480","PRESIDENT","chairperson"
"481","PRESIDENT","senator"
"482","PRESIDENT","vote"
"483","PRESIDENT","george"
"484","PRESIDENT","government"
"485","PRESIDENT","congress"
"486","PRESIDENT","official"
"487","PRESIDENT","speech"
"488","LAWYER","attorney"
"489","LAWYER","lawsuit"
"490","LAWYER","legal"
"491","LAWYER","sue"
"492","LAWYER","prosecute"
"493","LAWYER","lawful"
"494","LAWYER","doctor"
"495","LAWYER","judge"
"496","LAWYER","law"
"497","LAWYER","trial"
"498","LAWYER","briefcase"
"499","LAWYER","firm"
"500","LAWYER","case"
"501","LAWYER","counsel"
"502","LAWYER","defend"
"503","LAWYER","defense"
"504","LAWYER","professional"
"505","LAWYER","court"
"506","LAWYER","accuse"
"507","LAWYER","contract"
"508","LAWYER","laws"
"509","HOSPITAL","ambulance"
"510","HOSPITAL","patient"
"511","HOSPITAL","nurse"
"512","HOSPITAL","general"
"513","HOSPITAL","orderly"
"514","HOSPITAL","clinic"
"515","HOSPITAL","coma"
"516","HOSPITAL","emergency"
"517","HOSPITAL","medical"
"518","HOSPITAL","operation"
"519","HOSPITAL","heart attack"
"520","HOSPITAL","sick"
"521","HOSPITAL","volunteer"
"522","HOSPITAL","sickness"
"523","HOSPITAL","trauma"
"524","HOSPITAL","syringe"
"525","HOSPITAL","visitor"
"526","HOSPITAL","cancer"
"527","HOSPITAL","illness"
"528","HOSPITAL","surgery"
"529","HOSPITAL","memorial"
"530","MACHINE","copier"
"531","MACHINE","robot"
"532","MACHINE","mechanical"
"533","MACHINE","industry"
"534","MACHINE","message"
"535","MACHINE","crane"
"536","MACHINE","xerox"
"537","MACHINE","sew"
"538","MACHINE","copy"
"539","MACHINE","technology"
"540","MACHINE","computer"
"541","MACHINE","factory"
"542","MACHINE","inventor"
"543","MACHINE","operate"
"544","MACHINE","dishwasher"
"545","MACHINE","tractor"
"546","MACHINE","engine"
"547","MACHINE","invent"
"548","MACHINE","process"
"549","MACHINE","device"
"550","MACHINE","technician"
"551","ACCIDENT","wreck"
"552","ACCIDENT","crash"
"553","ACCIDENT","ambulance"
"554","ACCIDENT","dent"
"555","ACCIDENT","tragedy"
"556","ACCIDENT","trauma"
"557","ACCIDENT","impact"
"558","ACCIDENT","traffic"
"559","ACCIDENT","damage"
"560","ACCIDENT","fault"
"561","ACCIDENT","scar"
"562","ACCIDENT","injury"
"563","ACCIDENT","emergency"
"564","ACCIDENT","happen"
"565","ACCIDENT","reckless"
"566","ACCIDENT","smash"
"567","ACCIDENT","mistake"
"568","ACCIDENT","automobile"
"569","ACCIDENT","danger"
"570","ACCIDENT","spill"
"571","ACCIDENT","bumper"
"572","NEEDLE","thread"
"573","NEEDLE","syringe"
"574","NEEDLE","haystack"
"575","NEEDLE","injection"
"576","NEEDLE","pin"
"577","NEEDLE","thimble"
"578","NEEDLE","porcupine"
"579","NEEDLE","sew"
"580","NEEDLE","knitting"
"581","NEEDLE","knit"
"582","NEEDLE","crochet"
"583","NEEDLE","heroine"
"584","NEEDLE","pine"
"585","NEEDLE","stitch"
"586","NEEDLE","hay"
"587","NEEDLE","tread"
"588","NEEDLE","heroin"
"589","NEEDLE","compass"
"590","NEEDLE","sharp"
"591","NEEDLE","thorn"
"592","BUTTER","margarine"
"593","BUTTER","peanut"
"594","BUTTER","bread"
"595","BUTTER","spread"
"596","BUTTER","popcorn"
"597","BUTTER","melt"
"598","BUTTER","toast"
"599","BUTTER","roll"
"600","BUTTER","biscuit"
"601","BUTTER","margin"
"602","BUTTER","peanuts"
"603","BUTTER","bagel"
"604","BUTTER","pat"
"605","BUTTER","lobster"
"606","BUTTER","promise"
"607","BUTTER","muffin"
"608","BUTTER","corn"
"609","BUTTER","potato"
"610","BUTTER","almond"
"611","BUTTER","fattening"
"612","NEWSPAPER","article"
"613","NEWSPAPER","editorial"
"614","NEWSPAPER","editor"
"615","NEWSPAPER","column"
"616","NEWSPAPER","publication"
"617","NEWSPAPER","ad"
"618","NEWSPAPER","newsstand"
"619","NEWSPAPER","press"
"620","NEWSPAPER","times"
"621","NEWSPAPER","advertisement"
"622","NEWSPAPER","magazine"
"623","NEWSPAPER","daily"
"624","NEWSPAPER","journal"
"625","NEWSPAPER","printing"
"626","NEWSPAPER","gazelle"
"627","NEWSPAPER","horoscope"
"628","NEWSPAPER","media"
"629","NEWSPAPER","critic"
"630","NEWSPAPER","weekly"
"631","NEWSPAPER","issue"
"632","CHRISTMAS","ornament"
"633","CHRISTMAS","holiday"
"634","CHRISTMAS","santa"
"635","CHRISTMAS","stocking"
"636","CHRISTMAS","reindeer"
"637","CHRISTMAS","elf"
"638","CHRISTMAS","present"
"639","CHRISTMAS","sleigh"
"640","CHRISTMAS","decoration"
"641","CHRISTMAS","new year"
"642","CHRISTMAS","tradition"
"643","CHRISTMAS","joyous"
"644","CHRISTMAS","decorate"
"645","CHRISTMAS","giving"
"646","CHRISTMAS","gift"
"647","CHRISTMAS","yearly"
"648","CHRISTMAS","package"
"649","CHRISTMAS","vacation"
"650","CHRISTMAS","joy"
"651","CHRISTMAS","season"
"652","EXERCISE","aerobics"
"653","EXERCISE","workout"
"654","EXERCISE","fitness"
"655","EXERCISE","stretch"
"656","EXERCISE","sweat"
"657","EXERCISE","running"
"658","EXERCISE","gym"
"659","EXERCISE","jog"
"660","EXERCISE","fit"
"661","EXERCISE","bicycle"
"662","EXERCISE","physical"
"663","EXERCISE","active"
"664","EXERCISE","gymnastics"
"665","EXERCISE","walker"
"666","EXERCISE","walk"
"667","EXERCISE","swim"
"668","EXERCISE","athlete"
"669","EXERCISE","body"
"670","EXERCISE","headband"
"671","EXERCISE","weights"
"672","SECRET","discreet"
"673","SECRET","code"
"674","SECRET","hidden"
"675","SECRET","agent"
"676","SECRET","whisper"
"677","SECRET","private"
"678","SECRET","hint"
"679","SECRET","personal"
"680","SECRET","secretive"
"681","SECRET","confidence"
"682","SECRET","spy"
"683","SECRET","dairy"
"684","SECRET","tell"
"685","SECRET","confident"
"686","SECRET","identity"
"687","SECRET","rumor"
"688","SECRET","deodorant"
"689","SECRET","formula"
"690","SECRET","fbi"
"691","SECRET","secluded"
"692","FEELING","emotion"
"693","FEELING","mood"
"694","FEELING","intuition"
"695","FEELING","guilt"
"696","FEELING","sensitive"
"697","FEELING","expression"
"698","FEELING","aura"
"699","FEELING","instinct"
"700","FEELING","opinion"
"701","FEELING","felt"
"702","FEELING","impression"
"703","FEELING","compassion"
"704","FEELING","empathy"
"705","FEELING","sympathy"
"706","FEELING","attitude"
"707","FEELING","belief"
"708","FEELING","notion"
"709","FEELING","reaction"
"710","FEELING","affect"
"711","FEELING","esteem"
"712","IMPORTANT","urgent"
"713","IMPORTANT","critical"
"714","IMPORTANT","special"
"715","IMPORTANT","meaningful"
"716","IMPORTANT","major"
"717","IMPORTANT","necessary"
"718","IMPORTANT","executive"
"719","IMPORTANT","document"
"720","IMPORTANT","precious"
"721","IMPORTANT","matter"
"722","IMPORTANT","main"
"723","IMPORTANT","serious"
"724","IMPORTANT","highlight"
"725","IMPORTANT","sacred"
"726","IMPORTANT","valuable"
"727","IMPORTANT","monument"
"728","IMPORTANT","emergency"
"729","IMPORTANT","must"
"730","IMPORTANT","official"
"731","IMPORTANT","principal"
"732","MARRIAGE","engagement"
"733","MARRIAGE","divorce"
"734","MARRIAGE","vow"
"735","MARRIAGE","proposal"
"736","MARRIAGE","commitment"
"737","MARRIAGE","honeymoon"
"738","MARRIAGE","wed"
"739","MARRIAGE","couple"
"740","MARRIAGE","threshold"
"741","MARRIAGE","wedding"
"742","MARRIAGE","spouse"
"743","MARRIAGE","relationship"
"744","MARRIAGE","affair"
"745","MARRIAGE","ring"
"746","MARRIAGE","faithful"
"747","MARRIAGE","ceremony"
"748","MARRIAGE","status"
"749","MARRIAGE","announce"
"750","MARRIAGE","obey"
"751","FINISH","done"
"752","FINISH","start"
"753","FINISH","complete"
"754","FINISH","accomplish"
"755","FINISH","conclude"
"756","FINISH","end"
"757","FINISH","outcome"
"758","FINISH","ending"
"759","FINISH","final"
"760","FINISH","result"
"761","FINISH","diminish"
"762","FINISH","adjourn"
"763","FINISH","compete"
"764","FINISH","last"
"765","FINISH","graduate"
"766","FINISH","product"
"767","FINISH","quit"
"768","FINISH","ready"
"769","FINISH","enough"
"770","DISEASE","malaria"
"771","DISEASE","infection"
"772","DISEASE","aids"
"773","DISEASE","cancer"
"774","DISEASE","germ"
"775","DISEASE","cure"
"776","DISEASE","bacteria"
"777","DISEASE","virus"
"778","DISEASE","symptom"
"779","DISEASE","fungus"
"780","DISEASE","treatment"
"781","DISEASE","legion"
"782","DISEASE","disorder"
"783","DISEASE","rash"
"784","DISEASE","sickness"
"785","DISEASE","flu"
"786","DISEASE","contract"
"787","DISEASE","skin"
"788","DISEASE","plaque"
"789","DIAMOND","gem"
"790","DIAMOND","jewel"
"791","DIAMOND","ruby"
"792","DIAMOND","emerald"
"793","DIAMOND","jewelry"
"794","DIAMOND","sapphire"
"795","DIAMOND","necklace"
"796","DIAMOND","ring"
"797","DIAMOND","earring"
"798","DIAMOND","crystal"
"799","DIAMOND","priceless"
"800","DIAMOND","pearl"
"801","DIAMOND","valuable"
"802","DIAMOND","precious"
"803","DIAMOND","expensive"
"804","DIAMOND","luxury"
"805","DIAMOND","gold"
"806","DIAMOND","genuine"
"807","DIAMOND","coal"
"808","COFFEE","caffeine"
"809","COFFEE","tea"
"810","COFFEE","cafe"
"811","COFFEE","drip"
"812","COFFEE","cup"
"813","COFFEE","grind"
"814","COFFEE","mug"
"815","COFFEE","cream"
"816","COFFEE","doughnut"
"817","COFFEE","instant"
"818","COFFEE","sip"
"819","COFFEE","sugar"
"820","COFFEE","cups"
"821","COFFEE","morning"
"822","COFFEE","teapot"
"823","COFFEE","toast"
"824","COFFEE","blend"
"825","COFFEE","grounds"
"826","COFFEE","stir"
"827","STRING","guitar"
"828","STRING","twine"
"829","STRING","kite"
"830","STRING","yo-yo"
"831","STRING","rope"
"832","STRING","violin"
"833","STRING","shoelace"
"834","STRING","harp"
"835","STRING","knot"
"836","STRING","spool"
"837","STRING","strand"
"838","STRING","loop"
"839","STRING","ribbon"
"840","STRING","shoe"
"841","STRING","yarn"
"842","STRING","thread"
"843","STRING","bead"
"844","STRING","bean"
"845","STRING","woodwind"
"846","TROUBLE","mischief"
"847","TROUBLE","double"
"848","TROUBLE","jeopardy"
"849","TROUBLE","toil"
"850","TROUBLE","teenager"
"851","TROUBLE","help"
"852","TROUBLE","crisis"
"853","TROUBLE","danger"
"854","TROUBLE","burden"
"855","TROUBLE","conflict"
"856","TROUBLE","delinquent"
"857","TROUBLE","arrest"
"858","TROUBLE","bother"
"859","TROUBLE","fbi"
"860","TROUBLE","difficulty"
"861","TROUBLE","restriction"
"862","TROUBLE","dilemma"
"863","TROUBLE","problem"
"864","TROUBLE","consequence"
